,start_station,value
40,Grove St PATH,47273
47,Hoboken Terminal - River St & Hudson Pl,43757
80,South Waterfront Walkway - Sinatra Dr & 1 St,31302
46,Hoboken Terminal - Hudson St & Hudson Pl,27241
25,City Hall - Washington St & 1 St,24247
70,Newport PATH,23476
41,Hamilton Park,21608
17,Bergen Ave & Sip Ave,20797
71,Newport Pkwy,20696
0,11 St & Washington St,18745
2,12 St & Sinatra Dr N,18672
10,8 St & Washington St,17748
63,Marin Light Rail,17545
45,Hoboken Ave at Monmouth St,17355
24,City Hall,16829
6,4 St & River St,16396
29,Columbus Park - Clinton St & 9 St,15918
42,Harborside,15797
3,14 St Ferry - 14 St & Shipyard Ln,15706
34,Exchange Pl,15655
